iter,solver,kind,import_s,viewer_s,init_s,step_s,render_s,total_s
1,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,94.41
1,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.37
1,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,60.10
1,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.21
1,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,139.84
1,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.58
2,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,96.94
2,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.55
2,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,63.95
2,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.04
2,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,146.08
2,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.74
3,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,61.32
3,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.87
3,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,135.92
3,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.92
3,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,98.55
3,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.57
